Brand,Product Name,Variant,Volume ML,PCS/Case,Unit Type,Buy Price,Currency,Price Type,Stock Cases,MOQ,Incoterm,Warehouse,BBD,Notes,Supplier Name,EAN Unit,Cases per Pallet,Origin Country,Category
Lavazza,Coffee LavAzza Canal Grande Venezia 1kg,,,6,Piece,15.2,EUR,Per Piece,33,,,,,"Mfr: Luigi Lavazza, Via Bologna 32, 10152 Torino",CCF Baltija,8000070070189,66,Italy,Grocery
Lavazza,Coffee LavAzza Trastevere Roma 1kg,,,6,Piece,15.2,EUR,Per Piece,33,,,,,"Mfr: Luigi Lavazza, Via Bologna 32, 10152 Torino",CCF Baltija,8000070070219,66,Italy,Grocery
Lavazza,Coffee LavAzza Espresso Barista beans 1kg,,,6,Piece,15.6,EUR,Per Piece,4,,,,,"Mfr: Luigi Lavazza, Via Bologna 32, 10152 Torino",CCF Baltija,8000070025035,66,Italy,Grocery
Davidoff,Coffee Davidoff Rich Aroma 100g jar,,,6,Piece,4.05,EUR,Per Piece,250,,,,,Mfr: Tchibo (PL),CCF Baltija,4006067084188,250,Poland,Grocery
Davidoff,Coffee Davidoff Fine Aroma 100g jar,,,6,Piece,4.05,EUR,Per Piece,250,,,,,Mfr: Tchibo (PL),CCF Baltija,4006067084263,250,Poland,Grocery
Davidoff,Coffee Davidoff Espresso 57 100g jar,,,6,Piece,4.05,EUR,Per Piece,250,,,,,Mfr: Tchibo (PL),CCF Baltija,4006067061288,250,Poland,Grocery
TUC,TUC Paprika crackers 100g,,,24,Piece,0.42,EUR,Per Piece,130,,,,,Mfr: Mondelez International (CZ),CCF Baltija,5410041435900,65,Czech Republic,Confectionery
TUC,TUC Sour Cream & Onion crackers 100g,,,24,Piece,0.42,EUR,Per Piece,130,,,,,Mfr: Mondelez International (HU),CCF Baltija,5998711388935,65,Hungary,Confectionery
TUC,TUC Cheese crackers 100g,,,24,Piece,0.42,EUR,Per Piece,124,,,,,Mfr: Mondelez International (HU),CCF Baltija,5998711388928,65,Hungary,Confectionery
TUC,TUC Original crackers 100g,,,24,Piece,0.42,EUR,Per Piece,124,,,,,Mfr: Mondelez International (HU),CCF Baltija,5410041435702,65,Hungary,Confectionery
Mars,Cookies NEW Mars Secret Centre 132g,,,12,Piece,1.3,EUR,Per Piece,190,,,,,Mfr: Mars (GB),CCF Baltija,5056357909812,190,Great Britain,Confectionery
Twix,Cookies NEW Twix Secret Centre 132g,,,12,Piece,1.3,EUR,Per Piece,190,,,,,Mfr: Mars (GB),CCF Baltija,5056357911747,190,Great Britain,Confectionery
Bounty,Cookies NEW Bounty Secret centre 132g,,,12,Piece,1.3,EUR,Per Piece,148,,,,,Mfr: Mars (GB); stock 1780 pcs / 12 per case = 148.3 → rounded 148,CCF Baltija,5056357905739,190,Great Britain,Confectionery
McVities,Cookies MCVITIES Digest. dark choc. 150g,,,,Piece,1.1,EUR,Per Piece,,,,,,Mfr: McVities; stock 1414 pcs (units/case not given),CCF Baltija,5941664011658,,,Confectionery
McVities,Cookies MCVITIES Digest. milk chocolate 150g,,,,Piece,1.1,EUR,Per Piece,,,,,,Mfr: McVities; stock 1259 pcs (units/case not given),CCF Baltija,5941664011641,,,Confectionery
McVities,Cookies MCVITIES Digestives Original 133g,,,,Piece,0.55,EUR,Per Piece,,,,,,Mfr: McVities; stock 3543 pcs (units/case not given),CCF Baltija,5941664011634,,,Confectionery
McVities,"Cookies MCVITIES Digestives Original MAXI pack, 500g",,,,Piece,1.55,EUR,Per Piece,,,,,,Mfr: McVities; stock 10 pcs (units/case not given),CCF Baltija,5941664012679,,,Confectionery
McVities,Cookies MCVITIES Tartlets Lemon Flavour 100g,,,,Piece,0.55,EUR,Per Piece,,,,,,Mfr: McVities; stock 1988 pcs (units/case not given),CCF Baltija,5000396053821,,,Confectionery
McVities,Cookies MCVITIES Tartlets RasTops Raspberry 100g,,,,Piece,0.55,EUR,Per Piece,,,,,,Mfr: McVities; stock 1739 pcs (units/case not given),CCF Baltija,5000396053845,,,Confectionery
Oreo,Cookies OREO Original 176g,,,,Piece,0.65,EUR,Per Piece,,,,,,stock 95411 pcs (units/case not given),CCF Baltija,7622210765338,,,Confectionery
Pantene,"Pantene Conditioner Pro-V Colour Protect, 230ml",,230,6,Piece,1.95,EUR,Per Piece,192,,,,,Mfr: Procter&Gamble (DE),CCF Baltija,8700216509770,96,Germany,Toiletries
Nescafe,Coffee Nescafe DOLCE GUSTO Lungo 16 capsules 89.6g,,,3,Piece,3.35,EUR,Per Piece,33,,,,,Mfr: Nestle Deutschland AG (DE); stock 100 pcs / 3 per case = 33.3 → rounded 33,CCF Baltija,8445290871992,144,Germany,Grocery
Nescafe,"Coffee Nescafe DOLCE GUSTO Milano 16 capsules, 99.2g",,,3,Piece,3.35,EUR,Per Piece,33,,,,,Mfr: Nestle (ES); stock 100 pcs / 3 per case = 33.3 → rounded 33,CCF Baltija,8445290422149,144,Spain,Grocery
Nescafe,"Coffee Nescafe DOLCE GUSTO Buondi caffe, 99.2g",,,3,Piece,3.35,EUR,Per Piece,188,,,,,Mfr: Nestle,CCF Baltija,7613287300515,144,,Grocery
Nescafe,"Coffee Nescafe DOLCE GUSTO Cafe Au Lait 16 capsules, 160g",,,3,Piece,3.35,EUR,Per Piece,95,,,,,Mfr: Nestle; stock 286 pcs / 3 per case = 95.3 → rounded 95,CCF Baltija,7613033174704,144,,Grocery
Nescafe,"Coffee Nescafe DOLCE GUSTO Cappuccino 16 capsules, 186.4g",,,3,Piece,3.35,EUR,Per Piece,85,,,,,Mfr: Nestle; stock 254 pcs / 3 per case = 84.7 → rounded 85,CCF Baltija,7613036306270,144,,Grocery
Nescafe,"Coffee Nescafe DOLCE GUSTO Cortado 16 capsules, 100.8g",,,3,Piece,3.35,EUR,Per Piece,107,,,,,Mfr: Nestle; stock 320 pcs / 3 per case = 106.7 → rounded 107,CCF Baltija,7613032827014,144,,Grocery
Nescafe,"Coffee Nescafe DOLCE GUSTO Cortado Espresso Machiato Decafeinato 16 capsules, 99.2g",,,3,Piece,3.35,EUR,Per Piece,6,,,,,Mfr: Nestle,CCF Baltija,7613033494765,144,,Grocery
Nescafe,"Coffee Nescafe DOLCE GUSTO Flat White 16 capsules, 187.2g",,,3,Piece,3.35,EUR,Per Piece,11,,,,,Mfr: Nestle; stock 34 pcs / 3 per case = 11.3 → rounded 11,CCF Baltija,7613036595735,144,,Grocery
Nescafe,"Coffee Nescafe DOLCE GUSTO Grande 16 capsules, 136g",,,3,Piece,3.35,EUR,Per Piece,0,,,,,Mfr: Nestle; stock 1 pcs / 3 per case = 0.3 → rounded 0,CCF Baltija,8445290446244,144,,Grocery
Nescafe,"Coffee Nescafe DOLCE GUSTO Latte Macchiato 16 capsules, 183.2g",,,3,Piece,3.35,EUR,Per Piece,325,,,,,Mfr: Nestle,CCF Baltija,7613037491159,144,,Grocery
Nescafe,"Coffee Nescafe DOLCE GUSTO Latte Macchiato CARAMEL 16 capsules, 145.6g",,,3,Piece,3.35,EUR,Per Piece,119,,,,,Mfr: Nestle; stock 358 pcs / 3 per case = 119.3 → rounded 119,CCF Baltija,7613037788884,144,,Grocery
Nescafe,"Coffee Nescafe DOLCE GUSTO Lungo Intenso 16 capsules, 144g",,,3,Piece,3.35,EUR,Per Piece,95,,,,,Mfr: Nestle,CCF Baltija,7613033590146,144,,Grocery
Nescafe,"Coffee Nescafe DOLCE GUSTO Milano 16 capsules, 99.2g",,,3,Piece,3.35,EUR,Per Piece,3,,,,,Mfr: Nestle; stock 8 pcs / 3 per case = 2.7 → rounded 3,CCF Baltija,8445290422149,144,,Grocery
Nescafe,"Coffee Nescafe DOLCE GUSTO Nesquik 16 capsules, 256g",,,3,Piece,3.35,EUR,Per Piece,175,,,,,Mfr: Nestle,CCF Baltija,7613033160141,144,,Grocery
Nescafe,"Coffee Nescafe DOLCE GUSTO Palermo Espresso, 112g",,,3,Piece,3.35,EUR,Per Piece,1,,,,,Mfr: Nestle,CCF Baltija,8445290422200,144,,Grocery
Nescafe,"Coffee Nescafe DOLCE GUSTO Ristretto Barista, 104g",,,3,Piece,3.35,EUR,Per Piece,110,,,,,Mfr: Nestle,CCF Baltija,8445290869531,144,,Grocery
Nescafe,"Coffee Nescafe DOLCE GUSTO Starbucks Caffe Latte, 121.2g",,,3,Piece,3.35,EUR,Per Piece,63,,,,,Mfr: Nestle,CCF Baltija,7613287009647,144,,Grocery
Nescafe,"Coffee Nescafe DOLCE GUSTO Starbucks Caramel Macchiato, 127.8g",,,3,Piece,3.35,EUR,Per Piece,16,,,,,Mfr: Nestle,CCF Baltija,7613287002488,144,,Grocery
Nescafe,"Coffee Nescafe DOLCE GUSTO Starbucks Latte Machiato, 129g",,,3,Piece,3.35,EUR,Per Piece,249,,,,,Mfr: Nestle,CCF Baltija,7613287002457,144,,Grocery
